2026-05-03 15:32:01,748 INFO    MainThread:39853 [wandb_setup.py:_flush():81] Current SDK version is 0.26.1
2026-05-03 15:32:01,749 INFO    MainThread:39853 [wandb_setup.py:_flush():81] Configure stats pid to 39853
2026-05-03 15:32:01,749 INFO    MainThread:39853 [wandb_setup.py:_flush():81] Loading settings from environment variables
2026-05-03 15:32:01,749 INFO    MainThread:39853 [wandb_init.py:setup_run_log_directory():723] Logging user logs to /Users/eglantine/Dev/0.perso/2.Proutechos/9.GroovyMorning/4.rd/1.IAChronicleDetector/0.IAChronicleDetection/5.MachineLearningAudio-PretrainedModel/wandb/run-20260503_153201-qw7l0ia7/logs/debug.log
2026-05-03 15:32:01,749 INFO    MainThread:39853 [wandb_init.py:setup_run_log_directory():724] Logging internal logs to /Users/eglantine/Dev/0.perso/2.Proutechos/9.GroovyMorning/4.rd/1.IAChronicleDetector/0.IAChronicleDetection/5.MachineLearningAudio-PretrainedModel/wandb/run-20260503_153201-qw7l0ia7/logs/debug-internal.log
2026-05-03 15:32:01,749 INFO    MainThread:39853 [wandb_init.py:init():850] calling init triggers
2026-05-03 15:32:01,749 INFO    MainThread:39853 [wandb_init.py:init():855] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2026-05-03 15:32:01,749 INFO    MainThread:39853 [wandb_init.py:init():898] starting backend
2026-05-03 15:32:02,016 INFO    MainThread:39853 [wandb_init.py:init():913] sending inform_init request
2026-05-03 15:32:02,482 INFO    MainThread:39853 [wandb_init.py:init():918] backend started and connected
2026-05-03 15:32:02,485 INFO    MainThread:39853 [wandb_init.py:init():988] updated telemetry
2026-05-03 15:32:02,503 INFO    MainThread:39853 [wandb_init.py:init():1011] communicating run to backend with 90.0 second timeout
2026-05-03 15:32:03,073 INFO    MainThread:39853 [wandb_init.py:init():1056] starting run threads in backend
2026-05-03 15:32:03,121 INFO    MainThread:39853 [wandb_run.py:_console_start():2554] atexit reg
2026-05-03 15:32:03,121 INFO    MainThread:39853 [wandb_run.py:_redirect():2403] redirect: wrap_raw
2026-05-03 15:32:03,121 INFO    MainThread:39853 [wandb_run.py:_redirect():2472] Wrapping output streams.
2026-05-03 15:32:03,121 INFO    MainThread:39853 [wandb_run.py:_redirect():2495] Redirects installed.
2026-05-03 15:32:03,124 INFO    MainThread:39853 [wandb_init.py:init():1094] run started, returning control to user process
2026-05-03 15:33:07,948 INFO    wandb-AsyncioManager-main:39853 [service_client.py:_forward_responses():134] Reached EOF.
2026-05-03 15:33:07,948 INFO    wandb-AsyncioManager-main:39853 [mailbox.py:close():155] Closing mailbox, abandoning 1 handles.
